역명,월,이용인원,승차인원,하차인원
계양,1,193593,95967,97626
귤현,1,56611,26409,30202
박촌,1,239187,124728,114459
임학,1,487274,248486,238788
계산,1,694152,349866,344286
경인교대입구,1,429190,222186,207004
작전,1,877966,444471,433495
갈산,1,549991,277338,272653
부평구청,1,416525,204607,211918
부평시장,1,653504,325069,328435
부평,1,456664,218807,237857
동수,1,244968,123617,121351
부평삼거리,1,156515,79464,77051
간석오거리,1,742058,376685,365373
인천시청,1,385913,193580,192333
예술회관,1,681919,335629,346290
인천터미널,1,1042754,519941,522813
문학경기장,1,70312,36112,34200
선학,1,403764,202551,201213
신연수,1,342767,174837,167930
원인재,1,210016,108525,101491
동춘,1,625529,308710,316819
동막,1,356421,180483,175938
캠퍼스타운,1,226773,115288,111485
테크노파크,1,136796,68329,68467
지식정보단지,1,182879,91682,91197
인천대입구,1,109605,54084,55521
센트럴파크,1,88904,44159,44745
국제업무지구,1,19402,9348,10054
계양,2,185630,92388,93242
귤현,2,53975,24938,29037
박촌,2,225404,117760,107644
임학,2,459242,234484,224758
계산,2,661088,333745,327343
경인교대입구,2,410976,212868,198108
작전,2,831910,422266,409644
갈산,2,525045,264368,260677
부평구청,2,396136,193460,202676
부평시장,2,620060,308553,311507
부평,2,449253,215089,234164
동수,2,230708,116386,114322
부평삼거리,2,135828,69155,66673
간석오거리,2,708147,359568,348579
인천시청,2,371608,186153,185455
예술회관,2,651022,321084,329938
인천터미널,2,1000375,501467,498908
문학경기장,2,65168,33333,31835
선학,2,383577,193136,190441
신연수,2,327393,166841,160552
원인재,2,203532,105293,98239
동춘,2,599140,296280,302860
동막,2,346571,176036,170535
캠퍼스타운,2,221335,112262,109073
테크노파크,2,135851,67648,68203
지식정보단지,2,178916,89542,89374
인천대입구,2,110610,53937,56673
센트럴파크,2,84305,41736,42569
국제업무지구,2,19061,9226,9835
계양,3,247905,124140,123765
귤현,3,65763,30446,35317
박촌,3,272128,142695,129433
임학,3,541213,276964,264249
계산,3,877223,443603,433620
경인교대입구,3,504491,261316,243175
작전,3,999173,508534,490639
갈산,3,626498,318018,308480
부평구청,3,465301,227557,237744
부평시장,3,741615,368595,373020
부평,3,502660,241335,261325
동수,3,267388,134855,132533
부평삼거리,3,164463,83601,80862
간석오거리,3,840449,426882,413567
인천시청,3,447761,223877,223884
예술회관,3,737540,363552,373988
인천터미널,3,1157021,582144,574877
문학경기장,3,129009,64803,64206
선학,3,466390,236345,230045
신연수,3,407456,206999,200457
원인재,3,243385,125709,117676
동춘,3,671215,332395,338820
동막,3,396094,201134,194960
캠퍼스타운,3,295218,151687,143531
테크노파크,3,158498,78894,79604
지식정보단지,3,236096,117927,118169
인천대입구,3,301332,150174,151158
센트럴파크,3,100944,50196,50748
국제업무지구,3,28830,14040,14790
계양,4,254154,127309,126845
귤현,4,66742,30974,35768
박촌,4,276003,145016,130987
임학,4,537572,276295,261277
계산,4,868027,440586,427441
경인교대입구,4,495235,256795,238440
작전,4,994332,505805,488527
갈산,4,615167,312840,302327
부평구청,4,470230,230366,239864
부평시장,4,739355,367993,371362
부평,4,468003,225546,242457
동수,4,266969,134962,132007
부평삼거리,4,167315,85241,82074
간석오거리,4,839547,427064,412483
인천시청,4,447062,223844,223218
예술회관,4,712114,351709,360405
인천터미널,4,1089050,548438,540612
문학경기장,4,135558,68183,67375
선학,4,456034,230846,225188
신연수,4,403712,205912,197800
원인재,4,245635,127357,118278
동춘,4,647364,321116,326248
동막,4,393759,200602,193157
캠퍼스타운,4,281114,143262,137852
테크노파크,4,169961,84824,85137
지식정보단지,4,232411,115897,116514
인천대입구,4,307075,154275,152800
센트럴파크,4,108324,53978,54346
국제업무지구,4,30314,14914,15400
계양,5,262257,131467,130790
귤현,5,73472,34649,38823
박촌,5,275112,144330,130782
임학,5,542723,278336,264387
계산,5,873514,442226,431288
경인교대입구,5,494745,256323,238422
작전,5,1004111,510301,493810
갈산,5,601523,305345,296178
부평구청,5,468109,229370,238739
부평시장,5,740470,368004,372466
부평,5,469630,224393,245237
동수,5,266647,134855,131792
부평삼거리,5,170348,86634,83714
간석오거리,5,828718,422691,406027
인천시청,5,437775,220281,217494
예술회관,5,735417,362793,372624
인천터미널,5,1189230,599642,589588
문학경기장,5,163990,82310,81680
선학,5,468210,236297,231913
신연수,5,394752,201673,193079
원인재,5,233253,120746,112507
동춘,5,665121,330202,334919
동막,5,385890,196451,189439
캠퍼스타운,5,293370,150135,143235
테크노파크,5,167538,84194,83344
지식정보단지,5,230155,114898,115257
인천대입구,5,297375,149284,148091
센트럴파크,5,119452,59397,60055
국제업무지구,5,28024,13651,14373
계양,6,237663,119060,118603
귤현,6,69250,32374,36876
박촌,6,256724,134409,122315
임학,6,497001,254737,242264
계산,6,779850,394751,385099
경인교대입구,6,456299,236251,220048
작전,6,923679,468913,454766
갈산,6,558528,282728,275800
부평구청,6,437291,213524,223767
부평시장,6,684142,341344,342798
부평,6,409357,196278,213079
동수,6,254197,128583,125614
부평삼거리,6,157227,80030,77197
간석오거리,6,789543,401901,387642
인천시청,6,415630,208152,207478
예술회관,6,683707,337256,346451
인천터미널,6,1059233,533625,525608
문학경기장,6,146932,73680,73252
선학,6,435304,219881,215423
신연수,6,366989,186882,180107
원인재,6,223637,115640,107997
동춘,6,603250,300346,302904
동막,6,360744,183595,177149
캠퍼스타운,6,256179,129986,126193
테크노파크,6,165156,82998,82158
지식정보단지,6,209189,104464,104725
인천대입구,6,228245,114163,114082
센트럴파크,6,118946,59196,59750
국제업무지구,6,32163,15813,16350
계양,7,230306,115073,115233
귤현,7,69245,32604,36641
